COMID,lengthKM,Tidal,SLOPE,width_bkfl_m,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,CANADSKEL_,CANADSKEL1,UID_V6,F_CODE,HYC,VTR,YSS,LAKEUID,NAME_EN,NOM_FR,CGNDB_EN,CGNDB_FR,CGNS_FID,DATE_E,coast,outlet
3702970,0.692229123,0,0,23.74517585,370297,370272,188,188,0.0079,374401,34644,19209112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3701640,4.65682655,0,0,5.72056913,370164,370298,218,218,0.05304,374402,32349,18024112,BH140,8,0,0,0, , , , , ,2003,0,0
3702990,0.290480099,0,0,30964.90834,370299,370292,182,334,0.00396,374403,32640,38940112,VT001,0,1,0,5590262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3703000,0.193508596,0,0,30950.46462,370300,370299,182,334,0.00276,374404,32640,38942112,VT001,0,1,0,5590262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3702690,3.981093417,0,0,64.79250436,370269,370271,228,228,0.05522,374405,22438,9306112,BH140,8,0,0,0,Little Barachois Brook,Little Barachois Brook,AAMFH,AAMFH,0c131e88849c20c34a343b07585ecca6,2003,0,1
3702730,4.756803635,0,0,8.531965273,370273,370301,228,228,0.06583,374406,21141,8061112,VT001,0,1,0,2614262, , , , , ,2003,0,0
3703020,0.469884251,0,0,30915.40982,370302,370300,182,334,0.00663,374407,32640,38943112,VT001,0,1,0,5590262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3703030,1.074790169,0,0,0.530565431,370303,370304,218,218,0.01452,374408,32318,17999112,BH140,8,0,0,0, , , , , ,2003,0,0
3703050,6.09970185,0,0,145.7339593,370305,370094,222,222,0.06927,374409,15592,3513112,VT001,0,1,0,1042262,Terra Nova River,Terra Nova River,AASJQ,AASJQ,0c1713f4849c20c37f7a65e8c68648ad,2003,0,0
3703070,2.73084667,0,0,1.15420904,370307,370306,2,2,0.03484,374410,33468,18636112,BH140,8,0,0,0, , , , , ,2003,0,0
3702120,2.250716829,0,0,2.454543084,370212,370309,218,218,0.02481,374412,32483,18110112,VT001,0,1,0,5590262, , , , , ,2003,0,0
3703100,3.621226977,0,0,4.228604139,370310,370298,218,218,0.05047,374413,32348,18023112,BH140,8,0,0,0, , , , , ,2003,0,0
3702860,0.482873152,0,0,30722.57927,370286,370312,182,2,0.00499,374415,32673,38991112,BH140,8,0,0,0,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3703040,2.336574365,0,0,2.532341821,370304,370310,218,218,0.02936,374416,32323,18004112,VT001,0,1,0,5591262, , , , , ,2003,0,0
3703010,0.807066146,0,0,11.9682396,370301,370313,228,228,0.00932,374417,21059,7981112,VT001,0,1,0,2614262, , , , , ,2003,0,0
3703150,9.023734597,0,0,3.125684584,370315,370102,300,300,0.10964,374419,30775,16875112,BH140,8,0,0,0, , , , , ,2003,0,0
3702810,2.812674046,0,0,2.955644856,370281,370316,222,222,0.03847,374420,19670,6682112,VT001,0,1,0,2206262, , , , , ,2003,0,0
3700110,18.67809053,0,0,21.92187898,370011,370317,218,218,0.24479,374422,32232,17931112,BH140,8,0,0,0,Rivière Sainte-Marguerite,Rivière Sainte-Marguerite,EHZMU,EHZMU,26bded00be4d11d892e2080020a0f4c9,2003,0,0
3703120,2.099047714,0,0,30758.73542,370312,370302,182,334,0.02899,374423,32672,38979112,BH140,8,0,0,0,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20080428,0,0
3703180,1.738346832,0,0,97.85025916,370318,370249,300,186,0.01938,374424,30498,16679112,BH140,8,0,0,0,Rivière Mitis,Rivière Mitis,EHHCE,EHHCE,1a739fd7be3c11d892e2080020a0f4c9,2003,0,0
3703190,6.96831031,0,0,491.3828509,370319,370130,2,2,0.08924,374425,33078,18462112,VT001,0,1,0,5603262, , , , , ,2003,0,0
3703200,19.04548435,0,0,16.24394953,370320,369857,222,222,0.23534,374426,19709,6722112,BH140,8,0,0,0,Noel Paul's Brook,Noel Paul's Brook,AAPLX,AAPLX,0c154c30849c20c33fec5f38ae773ac6,2003,0,0
3703220,1.098601692,0,0,0.540344852,370322,370323,222,222,0.01136,374428,18640,5773112,BH140,8,0,0,0, , , , , ,2003,0,0
3703240,6.74676704,0,0,2.452911823,370324,370143,222,222,0.08724,374429,13260,2058112,BH140,8,0,0,0, , , , , ,2003,0,1
3703250,0.81855957,0,0,0.422822486,370325,370326,222,222,0.01064,374430,13530,2180112,BH140,8,0,0,0, , , , , ,2003,0,0
3703270,3.15996857,0,0,1.303515625,370327,370323,222,222,0.03546,374431,18639,5772112,BH140,8,0,0,0, , , , , ,2003,0,0
3702190,5.399523827,0,0,32845.6935,370219,370309,218,2,0.07123,374432,32496,18120112,VT001,0,1,0,5590262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,2003,0,0
3701680,3.994822906,0,0,3.959673861,370168,370329,2,2,0.04362,374434,34371,19069112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3703300,4.994111451,0,0,21.81581789,370330,370190,2,2,0.06422,374435,32991,18402112,BH140,8,0,0,0,La Belle Rivière,La Belle Rivière,EFMPC,EFMPC,c0eb8759bbe711d892e2080020a0f4c9,2003,0,0
3703160,1.447128897,0,0,4.155172552,370316,370320,222,222,0.01962,374436,19716,6728112,BH140,8,0,0,0, , , , , ,2003,0,0
3703060,2.568639377,0,0,2.740304274,370306,370331,2,2,0.02866,374437,33513,18653112,VT001,0,1,0,5724262, , , , , ,2003,0,0
3703320,1.403326186,0,0,0.662654842,370332,370317,218,218,0.01925,374438,32244,17940112,BH140,8,0,0,0, , , , , ,2003,0,0
3702090,4.795980818,0,0,21.88533329,370209,370329,2,2,0.06041,374439,34375,19071112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3703340,4.334312191,0,0,6.584367433,370334,370161,222,222,0.04714,374441,19922,6918112,BH140,8,0,0,0, , , , , ,2003,0,0
3703350,8.033302076,0,0,10.46148183,370335,370047,188,188,0.08686,374442,34633,19201112,VT001,0,1,0,5749262, , , , , ,2003,0,0
