FROMCOMID,TOCOMID
9869708,9869446
0,9869950
9869950,9869708
0,9869408
9869408,9869402
9869406,9869388
9869402,9869798
9869798,9869800
9869800,9869406
0,9869390
9869390,9869382
9869382,9869386
9869714,9869396
0,9869966
9869966,9869714
9869718,9869372
9869352,9869710
0,9869330
9869330,9869352
9869340,9869346
0,9869316
9869316,9869340
9869312,9869692
0,9869300
9869300,9869312
0,9869254
9869254,9869280
9869280,9869686
0,9869458
9869458,9869484
9869484,9869836
9869498,9869834
0,9869422
9869422,9869498
9869754,9870002
0,9869494
9869494,9869754
9869738,9869850
0,9869418
9869418,9869738
9869426,9869454
0,9869404
9869404,9869426
0,9869724
9869724,9869428
9869468,9869816
0,9869400
9869400,9869468
9869476,9869992
9869806,9869476
9869740,9869806
9869460,9869740
0,9869392
9869392,9869436
9869436,9869460
0,9869438
9869438,9869460
9869462,9869740
0,9869444
9869444,9869462
0,9867812
9867812,9867816
0,9867836
9867836,9867816
0,9865548
9865548,9865556
9866934,9866876
0,9865672
9865672,9865652
0,9866200
9866200,9865608
0,9867888
9867888,25776909
25776909,9867902
9867902,9868866
0,9867104
9867104,166756489
0,9868266
9868266,166756490
9869600,9869970
9869968,9869600
9869970,9878336
9869550,9870006
9869554,9870008
0,9869980
9869980,9869554
0,9869630
9869630,9870010
9869528,9870000
0,9869986
9869986,9869528
9869328,9869718
0,9869990
9869990,9869328
9869326,9869718
0,9869988
9869988,9869326
0,9869526
9869526,9869996
0,9869474
9869474,9869994
9870008,9869550
9873184,9873182
9873214,9873192
9873198,9873184
9873192,9873188
9873200,9873192
9873202,9873184
9873218,9873198
9873218,9873200
9873216,9873202
9873220,9873218
9873220,9873216
9873228,9873220
9873226,9873228
9873252,9873228
9873250,9873220
9873276,9873252
9873276,9873250
9873278,9873226
9873278,9873224
9873028,9873040
9873000,9873026
9873938,9873026
0,9872992
9872992,9873000
9872992,9873938
9873030,9873002
9873004,9873002
9873070,9873004
9873036,9873030
9873040,9873038
9873034,9873030
9873038,9873036
9873038,9873034
9873044,9873038
9873064,9873044
9873066,9873058
9873072,9873044
9873114,9873070
9873114,9873072
9873116,9873080
9873140,9873122
9873152,9873140
9873224,9873214
9873026,9873040
9873150,9873114
9873150,9873116
9873122,9873080
9873058,9873028
9873080,9873064
9873080,9873066
9878308,9866878
0,9866010
9866010,9878308
9866878,9866876
0,9871466
9871466,9871000
9868756,9868762
9868762,9868764
9871244,9871248
9871240,9871244
9870240,9871220
9871220,9871226
9868764,9870240
9868688,9878290
9878290,9868700
9866880,9866942
9867852,9868886
9868886,9868700
9869638,9869604
9873078,9869638
9873002,9874240
9874240,9869640
9869640,9869940
9873182,9873140
9873188,9873182
9873012,9873004
9873968,9874046
9866204,9866076
9870248,9870280
0,9868166
9868166,9870248
9873236,9873214
0,9865990
9865990,9866108
9866108,9866880
9866852,25776905
0,9867838
9867838,9868900
9868900,9878290
9868396,9867756
0,9868882
9868882,9868396
9871000,9870996
25776905,9866026
0,9870314
9870314,9869246
9869246,9869250
0,9865550
9865550,9865556
9865556,9865566
9873802,9874006
9874144,9873802
9873792,9874140
9874140,9874144
9869810,9869826
9869812,9869826
9869816,9869862
9869818,9869862
9869824,9869846
9869826,9869846
9869834,9869842
9869836,9869842
9869840,9869844
9869842,9869998
9869844,9869998
9869846,9869844
9869850,9869866
9869852,9869856
9869856,9869878
9869860,9869866
9869862,9869874
9869864,9869874
9869866,9869864
9869868,9869886
9869874,9869856
9869876,9869884
9869878,9869590
9869884,9869886
9869886,9869860
9869890,9869864
9869896,9870004
9869900,9869896
9869902,9869904
9869904,9869896
9869906,9869904
9869908,9869860
9869910,9869922
9869912,9869908
9869914,9869890
9869916,9869908
9869918,9869922
9869920,9869906
9869922,9869906
9869924,9869900
9869926,9869890
9869928,9870012
9869930,9869928
9869932,9869934
9869934,9869926
9869936,9869938
9869938,9869900
9869940,9869938
9869942,9869934
9869944,9869926
9869992,9869852
9869994,9869852
9869996,9869868
9869998,9869876
9870000,9869876
9870002,9869868
9870004,9869884
9870006,9870004
9870010,9870012
9870012,9869878
9868884,9878344
9868894,9878344
9868896,9867762
9878344,9868896
9878346,9868896
9871228,9871234
9871230,9871234
9871234,9870430
9868542,9867324
25776923,9868542
25776925,9868542
9868594,9868600
9868598,9868600
9868600,9867522
9868478,9868484
9868480,9868484
9868482,9868502
9868484,9868502
9868500,9868504
9868502,9868504
9868504,9867142
9866116,9866120
9866118,9866120
9866120,9866124
9866122,9866124
9866124,9866128
9866126,9866128
9866128,166756487
9866132,166756487
9866134,9866138
9866136,9866138
9866138,9866142
9866140,9866142
9866142,9865614
9866158,9866086
9866160,9866158
9866162,9866158
9866164,9866162
9866166,9866162
9871408,9871418
9871410,9878332
9871418,9871006
9878332,9871418
9874116,9873662
9874118,9874116
9874124,9874116
9874126,9874124
9874128,9874124
9874024,9873230
9874026,9874024
9874028,9874024
9868588,9867402
9868590,9868588
9868596,9868588
9874040,9874044
9874042,9874044
9874044,9873460
9868766,9868768
9868768,9868120
9868770,9868768
9866150,9866152
9866152,9865836
9866156,9866152
9868492,9868494
9868494,9867084
9868496,9868494
9868450,9868456
9868452,9868456
9868456,9867012
9868632,9867672
9868634,9868632
9868636,9868632
9869802,9869822
9869804,9869822
9869820,9869828
9869822,9869828
9869828,9869830
9869828,9869832
9869830,9869416
9869832,9869414
9871298,9871318
9871300,9871318
9871302,9871312
9871304,9871312
9871312,9871320
9871314,9878330
9871316,9871336
9871318,9871330
9871320,9871330
9871322,9871320
9871324,9871328
9871326,9871328
9871328,9871340
9871330,9871340
9871336,9871342
9871338,9871366
9871340,9871366
9871342,9871344
9871344,9871348
9871346,9871348
9871348,9871352
9871350,9871364
9871352,9871364
9871354,9871352
9871356,9871354
9871358,9871354
9871360,9871370
9871362,9871370
9871364,9871362
9871366,9871394
9871368,9871394
9871370,9871368
9871374,9871362
9871376,9871374
9871378,9871376
9871380,9871368
9871382,9871396
9871384,9871396
9871386,9871374
9871388,9871376
9871392,9871400
9871394,9871400
9871396,9871412
9871398,9871412
9871400,9871414
9871402,9871414
9871404,9871402
9871406,9871402
9871412,9871420
9871414,9871420
9871420,9871424
9871422,9869804
9871424,9871422
9871426,9871424
9871428,9871422
9871430,9871428
9871432,9871428
9878330,9871336
25776921,166756484
166756484,9873722
166756485,166756484
166756486,9866134
166756487,9866134
166756488,166756491
166756489,9867108
166756490,166756491
166756491,166756492
166756492,9867096
9681592,9681616
9681594,9681592
9681090,9679766
9679618,9681090
0,9679574
9679574,9679618
9681506,9681522
9680010,9681506
9679942,9680010
9679916,9679942
9679868,9679916
9679852,9679868
9679852,9679870
9679828,9679852
9679828,9679914
9679766,9679828
9679766,9679790
9679750,9679766
9679762,9679750
9679794,9679762
9679806,9679794
9679806,9681104
9679840,9679806
9679840,9679808
9679836,9679840
9679812,9679836
9679812,9679814
9679764,9679812
9681094,9679764
9681094,9681102
9680996,9681094
9681362,9679302
9679206,9681360
9679178,9681350
9681360,9681362
9681350,9679206
9679302,9680996
9679302,9679324
9681336,9679178
9679056,9681706
9679114,9681336
0,9681704
9681704,9679056
9681706,9679114
9681130,9680134
9679950,9680134
9679864,9679950
9679796,9679864
9679796,9679846
9681086,9679796
9679690,9681086
9679622,9679690
9681042,9681404
9679474,9681042
9679460,9679476
9681032,9679476
9681384,9681032
9679300,9681384
9679202,9679300
9681358,9679202
9679140,9681358
9679038,9679140
0,9678950
9678950,9681288
9679744,9681512
9681512,9681534
9679730,9679744
9679722,9679730
9679718,9679722
9679718,9679848
9679736,9679718
9679736,9679720
9679740,9679736
9679802,9679740
9679890,9679802
9679890,9679926
9681124,9679890
9679938,9681124
9679938,9679940
9681530,9679938
9681528,9681530
9681528,9681532
9679924,9681528
9679922,9679924
9679922,9680032
9679900,9679922
9679900,9679998
9679760,9681130
9679760,9679900
9681096,9679760
9679682,9681096
9679682,9681098
9681076,9679682
9681076,9679738
9679590,9679598
9679558,9679590
9679492,9679558
0,9679462
9679462,9679492
9681500,9681508
9679716,9681500
9679710,9679716
9679710,9679732
9679684,9679710
9679634,9679684
9679634,9679642
9679604,9679602
9679604,9679674
9679602,9679654
9679600,9679654
9679446,9679600
9679378,9679446
9681008,9679378
9679146,9681354
9681354,9679184
9679184,9681008
9681332,9681334
9679028,9681332
9679092,9679146
9681334,9679092
9681328,9679028
9679006,9681328
9681316,9679006
9678986,9681316
0,9681664
9681664,9678986
9681504,9681508
9681464,9681690
9681690,9681470
9681462,9681464
9679620,9681462
9679556,9679594
9681040,9679556
9681040,9681044
9679502,9681040
9679486,9679502
9681406,9679486
9681038,9681406
9679398,9681038
9681388,9679398
9681024,9681388
9679224,9681024
9680986,9679224
9680986,9680990
9679044,9680986
9679010,9679044
9681322,9679010
9678982,9681322
9678936,9678982
9678884,9678936
9678864,9681276
9681022,9681034
9679342,9681022
9679312,9679342
9679230,9679312
9679188,9679230
9679060,9679188
0,9681666
9681666,9679026
9679026,9681342
9681014,9681034
9679272,9681014
9679216,9679272
9679216,9679246
9679134,9679216
0,9679052
9679052,9679134
9681474,9681476
9681488,9681474
9681492,9681488
9681450,9681492
9681430,9681450
9679524,9681430
9679510,9679524
9679510,9679530
9679480,9679510
9679428,9679480
9679422,9679428
9679418,9679422
9679418,9679430
9679408,9679418
9681392,9681018
9681018,9679408
9681694,9681392
9679334,9681694
9679210,9680994
9679192,9681378
9681378,9681382
9681382,9679210
9681376,9679192
9680976,9681376
9681352,9680976
9679018,9681348
9681348,9679022
9679022,9681352
9681324,9678992
9678922,9681324
9678992,9679018
9681318,9678922
9678876,9681318
9681266,9678876
9681260,9678844
9678840,9681260
9678844,9681266
9681256,9678840
9678836,9681256
0,9677462
9677462,9678836
9681454,9681438
9681438,9681450
9681466,9681456
9681452,9681466
9681456,9681454
9681442,9681452
9681422,9681424
9681424,9681434
9681434,9681442
9684356,9681410
9681416,9681422
9681410,9681416
9681398,9684350
9681396,9681398
9684350,9684356
9684322,9681396
9683746,9684274
9684274,9684294
9679208,9683746
9679204,9679208
9680968,9679204
9678842,9680968
9677628,9677646
9676992,9677628
9677434,9677438
0,9676934
9676934,9677436
9677436,9677434
9677432,9677438
9676900,9677432
9677426,9676900
9677422,9677426
9677418,9677422
9677416,9677418
9677494,9676858
9676858,9677416
9676854,9677494
9676846,9676854
9677492,9676846
9676836,9677492
9676950,9677570
9676932,9677562
9676908,9677528
9676894,9676908
9676890,9676894
9676882,9676890
9677520,9676882
9676880,9677520
9677516,9676880
9676870,9677516
9676864,9677502
9677496,9676864
9676848,9677496
9676828,9677490
9677410,9676848
