FROMCOMID,TOCOMID
0,4531771
4531771,4531779
0,4530703
4530703,4531783
0,4531787
4531787,4531927
4531927,4531931
4530741,4531949
4531949,4531955
4530735,4530741
0,4530727
4530727,4530735
4531923,4530737
4530737,4530741
4530731,4531921
4531921,4531923
0,4530739
4530739,4530731
4531789,4530731
0,4530715
4530715,4531789
4530713,4531789
0,4531781
4531781,4530713
0,4530705
4530705,4530713
0,4530729
4530729,4530735
4530781,4531957
4531957,4532793
0,4532707
4532707,4530781
0,4530841
4530841,4531981
4531981,4532773
0,4530847
4530847,4531975
4531975,4531979
4531803,4530853
0,4530825
4530825,4531803
0,4530897
4530897,4531803
4530757,4530771
4530757,4530767
4531797,4530757
0,4530759
4530759,4531797
0,4530755
4530755,4531797
4530753,4530757
4531785,4530753
0,4530701
4530701,4531785
0,4530699
4530699,4531785
0,4530725
4530725,4530753
0,4530683
4530683,4530693
0,4530695
4530695,4530707
0,4530709
4530709,4530719
0,4530721
4530721,4530775
4530769,4530783
4530779,4530807
4530803,4530809
4530811,4531801
4530765,4530811
0,4530763
4530763,4530765
4530761,4530765
0,4530747
4530747,4530761
0,4530745
4530745,4530761
0,4530795
4530795,4530811
4539769,4531971
4530867,4531973
4531971,4531977
4531973,4539769
0,4530921
4530921,4530867
0,4530903
4530903,4530867
4539783,4532797
4530941,4532055
0,4530947
4530947,4530941
4532055,4539783
4539781,4532057
4532007,4532053
4530965,4532007
4532053,4539781
4530967,4530965
0,4530993
4530993,4530967
0,4530957
4530957,4530963
4530963,4530965
4532303,4532871
4539815,4532303
4532215,4539815
4531109,4532131
0,4532723
4532723,4531109
4531111,4532155
4532131,4531111
4539809,4532161
4532155,4539809
0,4531833
4531833,4532163
4532175,4532215
4532163,4539811
4539811,4532175
4531149,4532213
0,4532731
4532731,4531149
4532213,4532301
4532263,4532787
4532229,4532263
4532833,4532831
4532831,4532229
4539777,4532039
4532039,4532043
4532045,4539777
4531061,4532047
4532047,4532045
0,4531019
4531019,4531047
4531047,4531061
4531821,4531061
4531035,4531821
4531015,4531035
4531001,4531015
0,4530999
4530999,4531001
0,4531033
4531033,4531821
0,4530997
4530997,4531001
0,4531005
4531005,4531003
4531003,4531015
0,4531013
4531013,4531017
4531017,4531035
4531037,4532037
4532037,4539777
0,4532715
4532715,4531037
4530937,4531817
0,4530913
4530913,4530937
0,4530915
4530915,4530925
0,4530851
4530851,4530871
4530863,4530871
4530861,4530863
0,4530821
4530821,4530859
4530859,4530861
4530873,4530863
0,4530899
4530899,4530873
0,4530869
4530869,4530861
0,4530817
4530817,4530849
0,4530749
4530749,4530801
0,4531805
4531805,4530917
4531815,4531819
4530977,4531815
0,4531811
4531811,4530977
0,4531809
4531809,4531815
0,4531813
4531813,4530977
0,4530979
4530979,4531025
4531025,4532025
4532025,4532029
4539779,4532051
0,4531051
4531051,4532041
4532041,4539779
4531059,4532031
4532031,4532049
0,4532717
4532717,4531059
4532049,4532061
4539785,4532099
4531071,4532059
4532059,4539785
4531067,4531071
0,4531065
4531065,4531067
0,4531069
4531069,4531071
4531101,4532087
4532087,4532097
4532097,4532149
0,4532719
4532719,4531101
4532129,4539803
4539803,4532261
0,4531099
4531099,4532129
0,4531107
4531107,4532083
4539795,4532117
4532083,4532119
4532119,4539795
0,4531041
4531041,4531823
0,4531011
4531011,4531021
4530911,4530933
4530923,4530911
4530929,4530923
4530931,4530929
0,4530919
4530919,4530927
4530927,4530931
0,4530981
4530981,4530923
4530975,4530929
4530995,4530975
0,4532711
4532711,4530995
0,4530983
4530983,4530973
4530973,4530975
0,4530959
4530959,4530955
4530955,4530931
0,4530901
4530901,4530909
4530909,4530911
4530935,4530945
4530881,4530935
4530833,4530881
4530813,4530833
0,4530791
4530791,4530813
4530879,4530935
4530875,4530879
0,4532705
4532705,4530875
0,4530877
4530877,4530879
0,4530789
4530789,4530813
0,4530815
4530815,4530833
0,4530835
4530835,4530881
4530943,4530987
0,4530887
4530887,4530889
4530889,4530943
0,4530885
4530885,4530943
4530989,4531007
0,4530951
4530951,4530989
4531023,4531053
0,4530969
4530969,4530971
4530971,4531023
