FNODE_,TNODE_
2004150,2003760
2004170,2004130
2004190,2004120
2004200,2004190
2004210,2004190
2004220,2004120
2004230,2003200
2004240,2004280
2004250,2004240
2004260,2004130
2004270,2003780
2004280,2004890
2004290,2004100
2004300,2004310
2004310,2004160
2004320,2003810
2004330,2004340
2004340,2004410
2004350,2003640
2004360,2004210
2004370,2004380
2004380,2004340
2004390,2004360
2004410,2004310
2004420,2003810
2004460,2004470
2004470,2004590
2004480,2004210
2004490,2004500
2004500,2004030
2004530,2005240
2004560,2004480
2004570,2004580
2004580,2003920
2004590,2004390
2004600,2004570
2004610,2004270
2004620,2003650
2004630,2004580
2004650,2003780
2004660,2004610
2004670,2004680
2004680,2004110
2004690,2003860
2004700,2004690
2004720,2004630
2004730,2004640
2004740,2004650
2004750,2003770
2004760,2005150
2004770,2004780
2004780,2006200
2004800,2004720
2004810,2004160
2004820,2004760
2004830,2004820
2004840,2004490
2004860,2004410
2004880,2004640
2004890,2005000
2004900,2004800
2004910,2004780
2004920,2004910
2004930,2004890
2004960,2003650
2004980,2004910
2004990,2003610
2005000,2005070
2005020,2005030
2005030,2005050
2005050,2005040
2005060,2004500
2005070,2005090
2005080,2004610
2005090,2005100
2005100,2005020
2005110,2005090
2005120,2004990
2005140,2004900
2005150,2002120
2005160,2005140
2005170,2004830
2005180,2005080
2005190,2005280
2005200,2006380
2005220,2005230
2005230,2005770
2005240,2005300
2005250,2004750
2005260,2005160
2005270,2005230
2005280,2005380
2005290,2004660
2005300,2005400
2005310,2005110
2005320,2005310
2005330,2005320
2005340,2004990
2005360,2005120
2005370,2005330
2005380,2005500
2005400,2005650
2005410,2004680
2005420,2005260
2005430,2005440
2005440,2005290
2005450,2005460
2005460,2005870
2005470,2005460
2005480,2004700
2005520,2005320
2005530,2005540
2005540,2005550
2005550,2005630
2005560,2005520
2005570,2005580
2005580,2005860
2005600,2005580
2005610,2005620
2005620,2004980
2005630,2005650
2005650,2005840
2005660,2004650
2005670,2005520
