UNIQUE_ID,FEATUREID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
RI_303,6129655,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_307,6128705,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_310,6129589,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_311,6128611,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_312,6129599,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_313,6129599,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_314,6129611,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_315,6129611,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_317,6129611,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_319,6129609,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_323,6130099,dam,Moshassuck River-Woonasquatucket River,109000405,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_328,6129263,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_329,6128907,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_330,6128907,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_340,6128901,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_342,6129631,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_343,6129631,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_344,6128797,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_345,6128815,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_347,6130263,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_348,6129593,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_349,6128701,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_350,6117132,dam,Lower Blackstone River,109000302,Blackstone,1090003,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_352,6128471,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_353,6128471,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_354,6130085,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_355,6128551,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_356,6128551,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_357,6128549,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_358,6128625,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_360,6128599,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_369,6129707,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_371,6128999,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_372,6128943,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_373,6128943,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_377,6129053,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_380,6129011,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_381,6118974,dam,Lower Blackstone River,109000302,Blackstone,1090003,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_382,6139970,dam,Wood River,109000501,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_390,6118922,dam,Lower Blackstone River,109000302,Blackstone,1090003,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_391,6119288,dam,Lower Blackstone River,109000302,Blackstone,1090003,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_392,6148565,dam,Fivemile River,110000103,Quinebaug,1100001,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
RI_395,6129299,dam,Narragansett Bay-Frontal Rhode Island Sound,109000409,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_396,6129317,dam,Narragansett Bay-Frontal Rhode Island Sound,109000409,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_400,6140318,dam,Upper Pawcatuck River,109000502,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_403,6129183,dam,Narragansett Bay-Frontal Rhode Island Sound,109000409,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_404,6128563,dam,Ten Mile River,109000404,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_405,6128655,dam,Ten Mile River,109000404,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_406,6128579,dam,Ten Mile River,109000404,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_407,6128655,dam,Ten Mile River,109000404,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_410,6129617,dam,Palmer River,109000407,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_416,6118832,dam,Lower Blackstone River,109000302,Blackstone,1090003,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_417,6128059,dam,Moshassuck River-Woonasquatucket River,109000405,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_418,6129891,dam,Moshassuck River-Woonasquatucket River,109000405,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_422,6129589,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_425,6141096,dam,Block Island-Frontal Block Island Sound,109000504,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_426,6141140,dam,Block Island-Frontal Block Island Sound,109000504,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_433,6129149,dam,Pawtuxet River,109000406,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_444,6129329,dam,Narragansett Bay-Frontal Rhode Island Sound,109000409,Narragansett,1090004,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_453,6148753,dam,Moosup River,110000105,Quinebaug,1100001,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
RI_454,6140954,dam,Upper Pawcatuck River,109000502,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_467,5881735,dam,Sakonnet Point-Frontal Rhode Island Sound,109000205,Cape Cod,1090002,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
RI_468,6140280,dam,Wood River,109000501,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
