UID_V6,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN,dam_NAME
1137720,3807140,dam,Upper St. Lawrence - Raisin,,,,Upper St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,IROQUOIS CONTROL
720720,3706710,dam,Headwaters Saint-Maurice,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,GOUIN
749720,3737270,dam,Manouane,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,"MANOUANE """"C"""""
715720,3735650,dam,Upper Saint-Maurice,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,"RAPIDE BLANC, BARRAGE DE"
716720,3737340,dam,Upper Saint-Maurice,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,TRENCHE
718720,3742730,dam,Central Saint-Maurice,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,BEAUMONT
717720,3748730,dam,Central Saint-Maurice,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,LA TUQUE
683720,3767470,dam,Matawin,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,MATAWIN REMBLAI RIVE GAUCHE
682720,3767490,dam,Matawin,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,MATAWIN BARRAGE PRINCIPAL
1064720,3771560,dam,Lower Saint-Maurice,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,GRAND-MÈRE
681720,3774780,dam,Lower Saint-Maurice,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,SHAWINIGAN
677720,3776890,dam,Lower Saint-Maurice,,,,Saint-Maurice,St. Lawrence Drainage Area,Atlantic Ocean,LA GABELLE
684720,3785700,dam,L'Assomption,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,RAWDON
587720,3785280,dam,Nicolet,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,BEAUDET
577720,3792020,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,WEEDON
578720,3795580,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,WESTBURY
580720,3797670,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,ABENAQUIS
579720,3797730,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,FRONTENAC
581720,3798700,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,ROCK FOREST
702720,3800040,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,LA GRANDE DAME
752720,3801900,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE BURROUGHS
703720,3788780,dam,Lower Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,DRUMMONDVILLE
704720,3789220,dam,Lower Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE HEMMINGS
582720,3796130,dam,Lower Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,LAROCQUE
