UNIQUE_ID,FEATUREID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
u39973,9871046,dam,Ninety Six Creek,305010907,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39974,9871056,dam,Upper Stevens Creek,306010701,Stevens,3060107,Savannah,30601,Ogeechee-Savannah,306,South Atlantic-Gulf Region,3
u39975,9871280,dam,Lake Greenwood-Saluda River,305010908,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39976,9871418,dam,Ninety Six Creek,305010907,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39977,9871466,dam,Ninety Six Creek,305010907,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39978,9872996,dam,Little Saluda River,305010911,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39979,9873096,dam,Lake Murray-Saluda River,305010913,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39980,9873374,dam,Twelvemile Creek-Saluda River,305010914,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39981,9873500,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39982,9873660,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39983,9873694,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39984,9873722,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39985,9873754,dam,Little Saluda River,305010911,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39986,9873796,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39987,9874062,dam,Little Saluda River,305010911,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39988,9874076,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39989,9873516,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39990,9874116,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39991,9874120,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39992,9874144,dam,Clouds Creek,305010910,Saluda,3050109,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39993,9873776,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39994,9874228,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39995,9873724,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39996,10538336,dam,Lower North Fork Edisto River,305020303,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39997,10538706,dam,Lower North Fork Edisto River,305020303,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
