FNODE_,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN
1998190,1998190,outlet,Nepisiguit,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996730,1996730,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996740,1996740,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996790,1996790,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996860,1996860,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996890,1996890,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1997940,1997940,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1997950,1997950,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998170,1998170,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998280,1998280,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998290,1998290,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998370,1998370,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998400,1998400,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998430,1998430,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998450,1998450,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1998760,1998760,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1999160,1999160,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1999200,1999200,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1999700,1999700,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1999710,1999710,outlet,Acadian Peninsula,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2000360,2000360,outlet,Miramichi - Mouth,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2000380,2000380,outlet,Miramichi - Mouth,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2000400,2000400,outlet,Miramichi - Mouth,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2000500,2000500,outlet,Miramichi - Mouth,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2000640,2000640,outlet,Miramichi - Mouth,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
