143.11,Total functional habitat (sq_km),,,,,,
1045.92,Maximum habitat (sq_km),,,,,,
0,Channel width threshold (m),,,,,,
0,Slope threshold (m/m),,,,,,
0,Omit tidal reaches,,,,,,
UNIQUE_ID, type, catchmentID, habitat_sqkm, habitatSegment_sqkm, functional_habitatSegment_sqkm, PassageToHabitat, Decision
2678284,outlet,2678284,0.036329231,0.036329231,0.036329231,1,outlet
6721335,outlet,6721335,0.036290725,0.036290725,0.036290725,1,outlet
6129003,outlet,6129003,0.129066542,0.035992555,0.035992555,1,outlet
2683512,outlet,2683512,0.035765716,0.035765716,0.035765716,1,outlet
5863413,outlet,5863413,0.102539921,0.035456667,0.035456667,1,outlet
5860813,outlet,5860813,0.03527718,0.03527718,0.03527718,1,outlet
6170546,outlet,6170546,0.03412662,0.03412662,0.03412662,1,outlet
5845496,outlet,5845496,0.034062069,0.034062069,0.034062069,1,outlet
6177972,outlet,6177972,0.034041481,0.034041481,0.034041481,1,outlet
2676256,outlet,2676256,0.033901289,0.033901289,0.033901289,1,outlet
5882755,outlet,5882755,0.050829739,0.032818936,0.032818936,1,outlet
2682888,outlet,2682888,0.10049916,0.031292661,0.031292661,1,outlet
6721595,outlet,6721595,0.030856461,0.030856461,0.030856461,1,outlet
6170358,outlet,6170358,0.082813539,0.030670182,0.030670182,1,outlet
6178258,outlet,6178258,0.212486372,0.029576869,0.029576869,1,outlet
166174904,outlet,166174904,0.061325484,0.028510673,0.028510673,1,outlet
6130357,outlet,6130357,0.059624051,0.028261541,0.028261541,1,outlet
5860393,outlet,5860393,0.028157965,0.028157965,0.028157965,1,outlet
5882767,outlet,5882767,0.027691822,0.027691822,0.027691822,1,outlet
7734453,outlet,7734453,0.466714716,0.027620824,0.027620824,1,outlet
6177656,outlet,6177656,0.089411277,0.027450961,0.027450961,1,outlet
2683478,outlet,2683478,0.027393677,0.027393677,0.027393677,1,outlet
2682722,outlet,2682722,0.02712268,0.02712268,0.02712268,1,outlet
931090014,outlet,931090014,0.02698471,0.02698471,0.02698471,1,outlet
6719395,outlet,6719395,0.026644597,0.026644597,0.026644597,1,outlet
5860479,outlet,5860479,0.02651649,0.02651649,0.02651649,1,outlet
2683112,outlet,2683112,0.058708819,0.026457089,0.026457089,1,outlet
6130309,outlet,6130309,0.047284932,0.026262623,0.026262623,1,outlet
6177954,outlet,6177954,0.208586016,0.025676514,0.025676514,1,outlet
5884499,outlet,5884499,0.142032908,0.025669496,0.025669496,1,outlet
5878667,outlet,5878667,0.025632212,0.025632212,0.025632212,1,outlet
1736350,outlet,1736350,0.025253867,0.025253867,0.025253867,1,outlet
5204982,outlet,5204982,0.025125645,0.025125645,0.025125645,1,outlet
6178144,outlet,6178144,0.055167904,0.02508687,0.02508687,1,outlet
6177678,outlet,6177678,0.024550829,0.024550829,0.024550829,1,outlet
2683516,outlet,2683516,0.023807222,0.023807222,0.023807222,1,outlet
2678268,outlet,2678268,0.023724211,0.023724211,0.023724211,1,outlet
6170354,outlet,6170354,0.023541522,0.023541522,0.023541522,1,outlet
2676170,outlet,2676170,0.023344888,0.023344888,0.023344888,1,outlet
7737521,outlet,7737521,0.345621692,0.023083764,0.023083764,1,outlet
2682856,outlet,2682856,0.022793816,0.022793816,0.022793816,1,outlet
2683206,outlet,2683206,0.022688245,0.022688245,0.022688245,1,outlet
2680502,outlet,2680502,0.022665381,0.022665381,0.022665381,1,outlet
2683070,outlet,2683070,0.022357602,0.022357602,0.022357602,1,outlet
6168846,outlet,6168846,0.066908547,0.022221354,0.022221354,1,outlet
5204758,outlet,5204758,0.022195104,0.022195104,0.022195104,1,outlet
931060007,outlet,931060007,0.055140254,0.022030525,0.022030525,1,outlet
6721037,outlet,6721037,0.021935117,0.021935117,0.021935117,1,outlet
5878877,outlet,5878877,0.021749916,0.021749916,0.021749916,1,outlet
6129279,outlet,6129279,0.021663261,0.021663261,0.021663261,1,outlet
2680384,outlet,2680384,0.02160361,0.02160361,0.02160361,1,outlet
2677712,outlet,2677712,0.021527627,0.021527627,0.021527627,1,outlet
6177962,outlet,6177962,0.021257052,0.021257052,0.021257052,1,outlet
2676760,outlet,2676760,0.020948977,0.020948977,0.020948977,1,outlet
5860729,outlet,5860729,0.020471161,0.020471161,0.020471161,1,outlet
2676728,outlet,2676728,0.020382394,0.020382394,0.020382394,1,outlet
7732095,outlet,7732095,0.306995076,0.020082357,0.020082357,1,outlet
6177938,outlet,6177938,0.019649794,0.019649794,0.019649794,1,outlet
5878887,outlet,5878887,0.019559989,0.019559989,0.019559989,1,outlet
6719419,outlet,6719419,0.019450057,0.019450057,0.019450057,1,outlet
5881561,outlet,5881561,0.019358513,0.019358513,0.019358513,1,outlet
6170314,outlet,6170314,0.019305879,0.019305879,0.019305879,1,outlet
2676402,outlet,2676402,0.019262725,0.019262725,0.019262725,1,outlet
6178230,outlet,6178230,0.01922266,0.01922266,0.01922266,1,outlet
6722655,outlet,6722655,0.033069697,0.019081365,0.019081365,1,outlet
5878901,outlet,5878901,0.018821845,0.018821845,0.018821845,1,outlet
6721949,outlet,6721949,0.018628852,0.018628852,0.018628852,1,outlet
5867681,outlet,5867681,0.018550982,0.018550982,0.018550982,1,outlet
2683114,outlet,2683114,0.018127055,0.018127055,0.018127055,1,outlet
2682996,outlet,2682996,0.017928353,0.017928353,0.017928353,1,outlet
2676906,outlet,2676906,0.017767033,0.017767033,0.017767033,1,outlet
5205156,outlet,5205156,0.017533941,0.017533941,0.017533941,1,outlet
2683042,outlet,2683042,0.04601219,0.017524977,0.017524977,1,outlet
2683508,outlet,2683508,0.017478945,0.017478945,0.017478945,1,outlet
5846482,outlet,5846482,0.017363365,0.017363365,0.017363365,1,outlet
5879055,outlet,5879055,0.030227461,0.017298131,0.017298131,1,outlet
5878983,outlet,5878983,0.017260683,0.017260683,0.017260683,1,outlet
5204980,outlet,5204980,0.017217239,0.017217239,0.017217239,1,outlet
2682834,outlet,2682834,0.017087454,0.017087454,0.017087454,1,outlet
2677316,outlet,2677316,0.016992092,0.016992092,0.016992092,1,outlet
2676670,outlet,2676670,0.016874528,0.016874528,0.016874528,1,outlet
5845056,outlet,5845056,0.016484216,0.016484216,0.016484216,1,outlet
166174093,outlet,166174093,0.02592038,0.016463467,0.016463467,1,outlet
2676502,outlet,2676502,0.016321555,0.016321555,0.016321555,1,outlet
5204812,outlet,5204812,0.015635671,0.015635671,0.015635671,1,outlet
2684284,outlet,2684284,0.015235769,0.015235769,0.015235769,1,outlet
2680244,outlet,2680244,0.014910795,0.014910795,0.014910795,1,outlet
2676148,outlet,2676148,0.01487396,0.01487396,0.01487396,1,outlet
6177664,outlet,6177664,0.014782362,0.014782362,0.014782362,1,outlet
931050021,outlet,931050021,0.014634377,0.014634377,0.014634377,1,outlet
5878705,outlet,5878705,0.024708016,0.014574549,0.014574549,1,outlet
5860493,outlet,5860493,0.014434004,0.014434004,0.014434004,1,outlet
2676892,outlet,2676892,0.01437691,0.01437691,0.01437691,1,outlet
7734421,outlet,7734421,0.128667925,0.014219318,0.014219318,1,outlet
2676788,outlet,2676788,0.014113889,0.014113889,0.014113889,1,outlet
166174925,outlet,166174925,0.214734422,0.014038212,0.014038212,1,outlet
2683298,outlet,2683298,0.014035071,0.014035071,0.014035071,1,outlet
2682818,outlet,2682818,0.013955755,0.013955755,0.013955755,1,outlet
6170332,outlet,6170332,0.026084795,0.013706857,0.013706857,1,outlet
6170544,outlet,6170544,0.013446643,0.013446643,0.013446643,1,outlet
5845282,outlet,5845282,0.013422002,0.013422002,0.013422002,1,outlet
6140978,outlet,6140978,0.013240287,0.013240287,0.013240287,1,outlet
6719467,outlet,6719467,0.013033304,0.013033304,0.013033304,1,outlet
5860869,outlet,5860869,0.022481564,0.012819374,0.012819374,1,outlet
2676894,outlet,2676894,0.012772849,0.012772849,0.012772849,1,outlet
2677304,outlet,2677304,0.012673611,0.012673611,0.012673611,1,outlet
5860877,outlet,5860877,0.017915834,0.01254794,0.01254794,1,outlet
2677724,outlet,2677724,0.012375399,0.012375399,0.012375399,1,outlet
2685782,outlet,2685782,0.012291967,0.012291967,0.012291967,1,outlet
2683332,outlet,2683332,0.012229107,0.012229107,0.012229107,1,outlet
931050028,outlet,931050028,0.0120925,0.0120925,0.0120925,1,outlet
2677190,outlet,2677190,0.011703099,0.011703099,0.011703099,1,outlet
6141328,outlet,6141328,0.011664941,0.011664941,0.011664941,1,outlet
6721467,outlet,6721467,0.011626283,0.011626283,0.011626283,1,outlet
7732677,outlet,7732677,0.011559254,0.011559254,0.011559254,1,outlet
1736282,outlet,1736282,0.067499714,0.011433144,0.011433144,1,outlet
2682942,outlet,2682942,0.01139268,0.01139268,0.01139268,1,outlet
7733327,outlet,7733327,0.095761149,0.011353789,0.011353789,1,outlet
5860735,outlet,5860735,0.011257977,0.011257977,0.011257977,1,outlet
5882203,outlet,5882203,0.011217348,0.011217348,0.011217348,1,outlet
5878699,outlet,5878699,0.015716226,0.011147671,0.011147671,1,outlet
6177668,outlet,6177668,0.011024865,0.011024865,0.011024865,1,outlet
2683246,outlet,2683246,0.010989023,0.010989023,0.010989023,1,outlet
2683288,outlet,2683288,0.010985696,0.010985696,0.010985696,1,outlet
6168828,outlet,6168828,0.010904872,0.010904872,0.010904872,1,outlet
2683018,outlet,2683018,0.010807116,0.010807116,0.010807116,1,outlet
2676190,outlet,2676190,0.010466233,0.010466233,0.010466233,1,outlet
166174088,outlet,166174088,0.010439177,0.010439177,0.010439177,1,outlet
2683082,outlet,2683082,0.010314046,0.010314046,0.010314046,1,outlet
5860509,outlet,5860509,0.010240535,0.010240535,0.010240535,1,outlet
2685452,outlet,2685452,0.010174855,0.010174855,0.010174855,1,outlet
5204910,outlet,5204910,0.010169787,0.010169787,0.010169787,1,outlet
6719459,outlet,6719459,0.010025728,0.010025728,0.010025728,1,outlet
6129721,outlet,6129721,0.010016447,0.010016447,0.010016447,1,outlet
5204874,outlet,5204874,0.010007901,0.010007901,0.010007901,1,outlet
2677750,outlet,2677750,0.009983379,0.009983379,0.009983379,1,outlet
5866543,outlet,5866543,0.009975567,0.009975567,0.009975567,1,outlet
2682200,outlet,2682200,0.00984772,0.00984772,0.00984772,1,outlet
5881825,outlet,5881825,0.009701558,0.009701558,0.009701558,1,outlet
5882757,outlet,5882757,0.009644955,0.009644955,0.009644955,1,outlet
5878625,outlet,5878625,0.41534388,0.009622451,0.009622451,1,outlet
2676548,outlet,2676548,0.009259389,0.009259389,0.009259389,1,outlet
5860865,outlet,5860865,0.009209134,0.009209134,0.009209134,1,outlet
5876065,outlet,5876065,0.009199484,0.009199484,0.009199484,1,outlet
6177616,outlet,6177616,0.009173905,0.009173905,0.009173905,1,outlet
25075737,outlet,25075737,0.079347298,0.00912298,0.00912298,1,outlet
5882427,outlet,5882427,0.009049903,0.009049903,0.009049903,1,outlet
6177644,outlet,6177644,0.009028435,0.009028435,0.009028435,1,outlet
5203278,outlet,5203278,0.00902055,0.00902055,0.00902055,1,outlet
5846384,outlet,5846384,0.009014199,0.009014199,0.009014199,1,outlet
5845032,outlet,5845032,0.008886778,0.008886778,0.008886778,1,outlet
6141212,outlet,6141212,0.008847639,0.008847639,0.008847639,1,outlet
5878735,outlet,5878735,0.070396748,0.00880149,0.00880149,1,outlet
6722649,outlet,6722649,0.008660088,0.008660088,0.008660088,1,outlet
5878993,outlet,5878993,0.008653014,0.008653014,0.008653014,1,outlet
2682934,outlet,2682934,0.008643082,0.008643082,0.008643082,1,outlet
2677306,outlet,2677306,0.008621218,0.008621218,0.008621218,1,outlet
5860449,outlet,5860449,0.008614584,0.008614584,0.008614584,1,outlet
5204942,outlet,5204942,0.008579557,0.008579557,0.008579557,1,outlet
2682872,outlet,2682872,0.008473699,0.008473699,0.008473699,1,outlet
5204944,outlet,5204944,0.008431979,0.008431979,0.008431979,1,outlet
2682952,outlet,2682952,0.008399983,0.008399983,0.008399983,1,outlet
6170366,outlet,6170366,0.008385816,0.008385816,0.008385816,1,outlet
2683044,outlet,2683044,0.008319252,0.008319252,0.008319252,1,outlet
6721667,outlet,6721667,0.008314734,0.008314734,0.008314734,1,outlet
2683318,outlet,2683318,0.008309556,0.008309556,0.008309556,1,outlet
6129147,outlet,6129147,0.008295533,0.008295533,0.008295533,1,outlet
5878875,outlet,5878875,0.008273526,0.008273526,0.008273526,1,outlet
5882763,outlet,5882763,0.008241299,0.008241299,0.008241299,1,outlet
2682830,outlet,2682830,0.008170908,0.008170908,0.008170908,1,outlet
2680862,outlet,2680862,0.008153122,0.008153122,0.008153122,1,outlet
2677062,outlet,2677062,0.00810964,0.00810964,0.00810964,1,outlet
6168824,outlet,6168824,0.008100209,0.008100209,0.008100209,1,outlet
2683006,outlet,2683006,0.007846057,0.007846057,0.007846057,1,outlet
