COMID,downkm,,Q,W,DA
1993570,0.507822462,1.015644923,0.010246135,0.708562346,0.323228789
1993590,54.28930569,0.645092195,24.71195066,34.79778129,778.4815118
1993550,429.0832116,1.78686418,775.5057623,194.9353286,24415.01276
1993610,7.205277435,14.41055487,0.852789886,6.464263639,26.88106274
1993630,11.76528016,23.53056031,1.931222445,9.727790078,60.86572631
1993640,44.11360785,17.64544314,17.48400004,29.26971134,550.8192583
1993650,4.766898795,9.533797589,0.428309403,4.581174604,13.50255103
1993660,4.363180378,8.726360756,0.369564453,4.25542691,11.65091246
1993670,51.93317009,1.355726338,22.95011407,33.53439412,722.9893567
1993580,2.877720957,1.918480638,0.184659842,3.008044591,5.82232487
1993680,4.235233632,0.265514904,0.35167613,4.151160122,11.08706304
1993710,23.65228148,0.53820559,6.185640368,17.40966335,194.9100324
1993620,9.389747558,3.755899023,1.326027069,8.060727411,41.79480301
1993730,6.24769579,12.49539158,0.672362282,5.739839006,21.19465324
1993740,21.54639697,1.22452114,5.295096318,16.1077534,166.8535844
1993750,18.94478209,1.32623621,4.272809178,14.46954214,134.64553
1993720,15.83811306,1.629033945,3.16988819,12.46292587,99.8954532
1993760,6.67275938,13.34551876,0.750335545,6.063533763,23.6521115
1993780,10.48830338,20.97660675,1.594608033,8.839445323,50.25848874
1993790,9.673984265,19.34796853,1.393613915,8.26359981,43.92466736
1993810,14.65546466,29.31092931,2.785220811,11.68228658,87.77513799
1993820,4.651724375,9.303448749,0.411197822,4.488729583,12.96319967
1993690,7.070510888,4.8740098,0.82636666,6.363329814,26.04831533
1993860,8.98959116,17.97918232,1.23316955,7.773371723,38.86855177
1993840,15.26506199,1.767072808,2.981012733,12.08592669,93.94429473
1993830,32.03456683,12.81382673,10.25663601,22.41818826,323.1580263
1993900,1.489816977,0.993211318,0.061624142,1.737694728,1.943393008
1993890,30.19172738,4.242022552,9.292050097,21.33800494,292.771815
1993290,65.60779592,18.80201889,33.88465301,40.74736798,1067.381436
1993920,5.952971095,11.90594219,0.620325325,5.513251395,19.55459298
1993930,24.40710115,1.118128211,6.518202045,17.87153883,205.3871423
1993940,3.581233485,7.16246697,0.265895334,3.609552792,8.383129891
1993600,457.1032812,7.794806437,861.751829,205.4892689,27129.75666
1993960,45.80928715,11.80520675,18.61863558,30.2045219,586.5583945
