UNIQUE_ID,COMID,type,TERMCODE,TERMNAME_HUC10,TERMNAME_HUC8,TERMNAME_HUC6,TERMNAME_HUC4,TERMNAME_HUC2,damName,latitude,longitude
91998400,91998400,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.5581131,-64.85694122
91998430,91998430,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.54860751,-64.86232399
91998450,91998450,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.5465889,-64.86357117
91998760,91998760,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.43625641,-65.49537659
91999160,91999160,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.34396075,-64.95876881
91999200,91999200,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.33982849,-64.96107483
91999700,91999700,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.21537781,-65.12274933
91999710,91999710,outlet,NICN910000000,Acadian Peninsula,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.21398862,-65.12217002
92000360,92000360,outlet,NICN910000000,Miramichi - Mouth,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.09333575,-65.35598923
92000380,92000380,outlet,NICN910000000,Miramichi - Mouth,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.09305191,-65.35426331
92000400,92000400,outlet,NICN910000000,Miramichi - Mouth,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.09085846,-65.36512756
92000500,92000500,outlet,NICN910000000,Miramichi - Mouth,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.08574252,-65.36192006
92000640,92000640,outlet,NICN910000000,Miramichi - Mouth,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.06247711,-65.30760956
92000730,92000730,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.05385416,-64.99935312
92000740,92000740,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.05217937,-64.99377695
92000760,92000760,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.05121231,-65.14398956
92000820,92000820,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.04739571,-65.14788055
92001050,92001050,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.03738022,-65.21408081
92001080,92001080,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,47.03725433,-65.21669006
92001420,92001420,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.97162088,-60.57350171
92001500,92001500,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.96588313,-60.61769599
92001560,92001560,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.95362091,-64.91048431
92001790,92001790,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.93166563,-60.56965001
92002060,92002060,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.8893677,-60.52662152
92002170,92002170,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.88135039,-60.48744386
92002270,92002270,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.84743088,-60.68484255
92002420,92002420,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.83409854,-60.63570048
92002600,92002600,outlet,NICN910000000,Western Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.81433487,-64.04401398
92002610,92002610,outlet,NICN910000000,Western Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.81373909,-64.04212353
92002740,92002740,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.80608758,-64.99533341
92002800,92002800,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.79823584,-60.40426117
